"Age";"Sex";"Employment_Status";"Education_Level"
61;"Female";"Student";"High School"
67;"Male";"Employed";"Master's Degree"
70;"Female";"Unemployed";"PhD"
48;"Male";"Retired";"Associate's Degree"
63;"Female";"Employed";"Bachelor's Degree"
25;"Female";"Retired";"Bachelor's Degree"
41;"Female";"Employed";"High School"
77;"Female";"Student";"High School"
47;"Male";"Retired";"PhD"
40;"Female";"Student";"Master's Degree"
54;"Female";"Employed";"High School"
49;"Female";"Employed";"Master's Degree"
34;"Male";"Employed";"Associate's Degree"
43;"Female";"Student";"Associate's Degree"
76;"Male";"Retired";"High School"
74;"Female";"Student";"Associate's Degree"
74;"Male";"Unemployed";"Master's Degree"
60;"Male";"Student";"High School"
40;"Male";"Unemployed";"Associate's Degree"
43;"Male";"Unemployed";"Bachelor's Degree"
53;"Male";"Unemployed";"High School"
62;"Female";"Student";"Bachelor's Degree"
25;"Female";"Student";"PhD"
32;"Male";"Retired";"Master's Degree"
80;"Male";"Unemployed";"Associate's Degree"
76;"Male";"Retired";"Master's Degree"
53;"Male";"Employed";"PhD"
62;"Female";"Employed";"PhD"
20;"Female";"Employed";"High School"
56;"Female";"Student";"High School"
50;"Male";"Student";"PhD"
55;"Female";"Retired";"Bachelor's Degree"
62;"Female";"Employed";"Master's Degree"
43;"Male";"Employed";"PhD"
45;"Female";"Student";"Associate's Degree"
43;"Male";"Student";"Bachelor's Degree"
34;"Male";"Student";"Master's Degree"
40;"Male";"Retired";"Bachelor's Degree"
70;"Male";"Student";"PhD"
55;"Male";"Retired";"Master's Degree"
27;"Female";"Retired";"High School"
62;"Female";"Student";"Master's Degree"
55;"Female";"Employed";"High School"
58;"Female";"Student";"High School"
25;"Male";"Unemployed";"Associate's Degree"
18;"Female";"Employed";"Associate's Degree"
33;"Female";"Retired";"Associate's Degree"
71;"Female";"Retired";"Bachelor's Degree"
19;"Female";"Unemployed";"Master's Degree"
57;"Female";"Student";"High School"
31;"Male";"Student";"PhD"
29;"Female";"Retired";"Bachelor's Degree"
43;"Male";"Unemployed";"Bachelor's Degree"
25;"Male";"Employed";"High School"
80;"Female";"Unemployed";"PhD"
58;"Female";"Student";"Associate's Degree"
25;"Female";"Student";"Master's Degree"
74;"Female";"Retired";"Master's Degree"
26;"Female";"Unemployed";"Bachelor's Degree"
69;"Female";"Retired";"Bachelor's Degree"
50;"Female";"Retired";"Bachelor's Degree"
20;"Female";"Student";"High School"
57;"Male";"Unemployed";"PhD"
19;"Male";"Unemployed";"Bachelor's Degree"
18;"Male";"Retired";"High School"
26;"Male";"Retired";"Master's Degree"
72;"Female";"Employed";"Bachelor's Degree"
24;"Female";"Retired";"Master's Degree"
30;"Female";"Student";"PhD"
46;"Male";"Student";"Master's Degree"
37;"Male";"Employed";"High School"
31;"Female";"Employed";"Bachelor's Degree"
77;"Male";"Retired";"High School"
33;"Male";"Student";"Associate's Degree"
24;"Female";"Student";"Master's Degree"
53;"Female";"Employed";"High School"
62;"Male";"Employed";"Bachelor's Degree"
29;"Female";"Student";"Master's Degree"
42;"Male";"Retired";"Master's Degree"
44;"Male";"Employed";"Bachelor's Degree"
30;"Female";"Unemployed";"Bachelor's Degree"
37;"Male";"Unemployed";"PhD"
27;"Male";"Retired";"Bachelor's Degree"
47;"Female";"Unemployed";"PhD"
80;"Female";"Unemployed";"Master's Degree"
58;"Female";"Employed";"High School"
29;"Male";"Retired";"PhD"
25;"Male";"Retired";"Bachelor's Degree"
24;"Male";"Student";"Bachelor's Degree"
74;"Male";"Retired";"Master's Degree"
32;"Male";"Unemployed";"Bachelor's Degree"
36;"Female";"Retired";"Bachelor's Degree"
66;"Female";"Unemployed";"Associate's Degree"
60;"Male";"Student";"Associate's Degree"
56;"Male";"Employed";"Master's Degree"
68;"Female";"Retired";"PhD"
80;"Female";"Employed";"High School"
40;"Female";"Retired";"Associate's Degree"
75;"Male";"Student";"PhD"
52;"Male";"Employed";"Master's Degree"
23;"Male";"Retired";"High School"
24;"Male";"Retired";"Associate's Degree"
21;"Male";"Unemployed";"Bachelor's Degree"
27;"Female";"Employed";"Associate's Degree"
34;"Male";"Employed";"PhD"
65;"Male";"Retired";"PhD"
25;"Male";"Employed";"Bachelor's Degree"
70;"Female";"Retired";"Associate's Degree"
20;"Female";"Student";"Master's Degree"
61;"Female";"Employed";"Master's Degree"
70;"Male";"Employed";"PhD"
63;"Male";"Employed";"Bachelor's Degree"
54;"Female";"Employed";"PhD"
31;"Female";"Retired";"Master's Degree"
45;"Female";"Student";"Master's Degree"
23;"Male";"Employed";"High School"
26;"Female";"Retired";"Bachelor's Degree"
50;"Male";"Student";"Associate's Degree"
69;"Male";"Retired";"Bachelor's Degree"
63;"Female";"Employed";"Bachelor's Degree"
36;"Male";"Student";"Associate's Degree"
54;"Male";"Unemployed";"PhD"
51;"Male";"Student";"Bachelor's Degree"
18;"Female";"Employed";"Master's Degree"
45;"Female";"Employed";"High School"
69;"Female";"Retired";"Bachelor's Degree"
47;"Female";"Retired";"PhD"
21;"Male";"Retired";"Bachelor's Degree"
76;"Male";"Student";"Master's Degree"
43;"Male";"Student";"Master's Degree"
75;"Male";"Employed";"Master's Degree"
28;"Male";"Retired";"Associate's Degree"
22;"Female";"Retired";"Associate's Degree"
71;"Female";"Retired";"Associate's Degree"
53;"Male";"Student";"Bachelor's Degree"
36;"Female";"Employed";"Master's Degree"
52;"Male";"Unemployed";"Master's Degree"
50;"Male";"Retired";"Associate's Degree"
56;"Male";"Retired";"High School"
22;"Female";"Employed";"PhD"
78;"Female";"Student";"Bachelor's Degree"
40;"Male";"Employed";"Master's Degree"
58;"Female";"Employed";"Master's Degree"
42;"Male";"Employed";"PhD"
80;"Male";"Employed";"PhD"
73;"Female";"Unemployed";"Bachelor's Degree"
66;"Female";"Employed";"High School"
38;"Female";"Retired";"Associate's Degree"
22;"Female";"Student";"Associate's Degree"
73;"Male";"Unemployed";"Bachelor's Degree"
29;"Male";"Employed";"High School"
19;"Female";"Retired";"Associate's Degree"
71;"Female";"Retired";"Associate's Degree"
35;"Female";"Employed";"PhD"
21;"Female";"Student";"Bachelor's Degree"
59;"Male";"Retired";"High School"
64;"Male";"Unemployed";"Associate's Degree"
40;"Male";"Retired";"Bachelor's Degree"
71;"Male";"Unemployed";"High School"
25;"Female";"Unemployed";"Bachelor's Degree"
18;"Female";"Retired";"High School"
73;"Female";"Employed";"Bachelor's Degree"
28;"Female";"Student";"Associate's Degree"
54;"Male";"Student";"Bachelor's Degree"
28;"Male";"Unemployed";"High School"
32;"Male";"Student";"Associate's Degree"
32;"Male";"Unemployed";"Bachelor's Degree"
74;"Male";"Unemployed";"Master's Degree"
73;"Male";"Employed";"High School"
59;"Female";"Student";"PhD"
32;"Female";"Retired";"Bachelor's Degree"
32;"Male";"Student";"PhD"
69;"Male";"Retired";"PhD"
61;"Male";"Retired";"Associate's Degree"
58;"Female";"Unemployed";"Master's Degree"
78;"Male";"Retired";"PhD"
42;"Male";"Unemployed";"High School"
53;"Male";"Unemployed";"Associate's Degree"
20;"Male";"Employed";"High School"
24;"Male";"Student";"Bachelor's Degree"
21;"Female";"Employed";"PhD"
73;"Female";"Student";"Master's Degree"
57;"Female";"Unemployed";"High School"
70;"Female";"Employed";"Associate's Degree"
54;"Male";"Employed";"Master's Degree"
41;"Male";"Employed";"Bachelor's Degree"
55;"Female";"Employed";"PhD"
21;"Male";"Unemployed";"High School"
20;"Male";"Retired";"Associate's Degree"
28;"Female";"Unemployed";"PhD"
27;"Male";"Student";"Master's Degree"
46;"Male";"Student";"Bachelor's Degree"
40;"Female";"Student";"Bachelor's Degree"
22;"Female";"Retired";"Master's Degree"
41;"Male";"Employed";"Master's Degree"
49;"Male";"Employed";"PhD"
42;"Male";"Unemployed";"Associate's Degree"
28;"Female";"Employed";"Master's Degree"
27;"Male";"Retired";"Associate's Degree"
32;"Female";"Student";"Associate's Degree"
68;"Male";"Student";"High School"
77;"Female";"Student";"High School"
48;"Male";"Retired";"Master's Degree"
27;"Female";"Unemployed";"Master's Degree"
62;"Male";"Employed";"Associate's Degree"
76;"Female";"Unemployed";"PhD"
41;"Male";"Retired";"PhD"
52;"Female";"Retired";"PhD"
67;"Female";"Student";"PhD"
27;"Male";"Student";"Master's Degree"
25;"Male";"Unemployed";"PhD"
61;"Female";"Employed";"Associate's Degree"
59;"Male";"Unemployed";"PhD"
49;"Female";"Employed";"PhD"
56;"Male";"Retired";"Associate's Degree"
24;"Male";"Student";"Bachelor's Degree"
55;"Female";"Retired";"PhD"
34;"Female";"Student";"High School"
37;"Male";"Student";"High School"
50;"Male";"Employed";"High School"
54;"Male";"Student";"High School"
27;"Female";"Unemployed";"Associate's Degree"
62;"Male";"Retired";"Bachelor's Degree"
27;"Male";"Employed";"PhD"
19;"Male";"Retired";"PhD"
32;"Male";"Student";"Bachelor's Degree"
40;"Female";"Unemployed";"Associate's Degree"
64;"Female";"Employed";"Master's Degree"
57;"Female";"Student";"Master's Degree"
52;"Male";"Employed";"Bachelor's Degree"
19;"Female";"Student";"High School"
23;"Female";"Retired";"High School"
63;"Male";"Employed";"Master's Degree"
76;"Male";"Employed";"High School"
64;"Female";"Unemployed";"PhD"
68;"Male";"Student";"Bachelor's Degree"
26;"Female";"Retired";"Master's Degree"
40;"Male";"Student";"PhD"
42;"Female";"Unemployed";"Bachelor's Degree"
32;"Male";"Student";"High School"
39;"Female";"Retired";"Associate's Degree"
65;"Female";"Unemployed";"High School"
25;"Male";"Employed";"Associate's Degree"
46;"Male";"Employed";"Bachelor's Degree"
58;"Male";"Student";"Master's Degree"
38;"Male";"Employed";"High School"
72;"Female";"Retired";"Master's Degree"
65;"Female";"Retired";"PhD"
26;"Female";"Retired";"High School"
51;"Male";"Student";"Master's Degree"
73;"Male";"Student";"Associate's Degree"
58;"Male";"Unemployed";"High School"
60;"Male";"Employed";"PhD"
73;"Male";"Retired";"Bachelor's Degree"
28;"Female";"Student";"High School"
21;"Female";"Student";"Bachelor's Degree"
24;"Female";"Retired";"High School"
73;"Male";"Unemployed";"Master's Degree"
67;"Female";"Employed";"PhD"
77;"Male";"Retired";"High School"
28;"Male";"Student";"High School"
71;"Male";"Unemployed";"Associate's Degree"
50;"Male";"Employed";"Associate's Degree"
28;"Male";"Employed";"Master's Degree"
77;"Male";"Student";"Bachelor's Degree"
75;"Female";"Employed";"Associate's Degree"
55;"Male";"Employed";"Bachelor's Degree"
38;"Female";"Unemployed";"High School"
27;"Male";"Retired";"Master's Degree"
74;"Female";"Retired";"Associate's Degree"
67;"Female";"Retired";"Bachelor's Degree"
20;"Female";"Employed";"PhD"
52;"Female";"Student";"High School"
51;"Male";"Unemployed";"PhD"
75;"Male";"Employed";"PhD"
57;"Male";"Retired";"High School"
45;"Male";"Retired";"Associate's Degree"
30;"Male";"Student";"Bachelor's Degree"
25;"Female";"Unemployed";"High School"
19;"Female";"Unemployed";"Associate's Degree"
76;"Male";"Student";"Master's Degree"
23;"Male";"Retired";"PhD"
40;"Male";"Retired";"High School"
34;"Female";"Retired";"High School"
49;"Male";"Employed";"Bachelor's Degree"
31;"Female";"Employed";"Bachelor's Degree"
24;"Female";"Retired";"Associate's Degree"
30;"Female";"Student";"Associate's Degree"
25;"Male";"Student";"Associate's Degree"
55;"Male";"Student";"Bachelor's Degree"
28;"Male";"Retired";"PhD"
59;"Male";"Unemployed";"Associate's Degree"
34;"Female";"Student";"PhD"
24;"Male";"Student";"PhD"
72;"Male";"Unemployed";"Associate's Degree"
61;"Male";"Retired";"Master's Degree"
77;"Female";"Unemployed";"Bachelor's Degree"
36;"Female";"Retired";"Master's Degree"
66;"Female";"Student";"PhD"
57;"Female";"Employed";"Master's Degree"
32;"Female";"Retired";"PhD"
63;"Female";"Retired";"Associate's Degree"
31;"Female";"Student";"Bachelor's Degree"
43;"Male";"Employed";"Bachelor's Degree"
44;"Male";"Employed";"High School"
34;"Female";"Retired";"Associate's Degree"
50;"Male";"Student";"Associate's Degree"
67;"Male";"Unemployed";"PhD"
35;"Male";"Retired";"Bachelor's Degree"
37;"Male";"Retired";"Bachelor's Degree"
44;"Female";"Retired";"High School"
59;"Female";"Employed";"Associate's Degree"
27;"Female";"Retired";"High School"
70;"Female";"Retired";"PhD"
80;"Male";"Retired";"High School"
26;"Female";"Employed";"Associate's Degree"
48;"Male";"Retired";"Bachelor's Degree"
36;"Male";"Employed";"PhD"
72;"Male";"Unemployed";"PhD"
72;"Male";"Student";"PhD"
67;"Female";"Retired";"Associate's Degree"
35;"Female";"Employed";"Master's Degree"
61;"Female";"Unemployed";"High School"
61;"Female";"Unemployed";"High School"
45;"Male";"Student";"High School"
38;"Male";"Unemployed";"High School"
46;"Male";"Employed";"Bachelor's Degree"
73;"Male";"Unemployed";"Master's Degree"
53;"Female";"Retired";"Associate's Degree"
37;"Female";"Retired";"Bachelor's Degree"
40;"Male";"Retired";"PhD"
59;"Male";"Student";"Bachelor's Degree"
22;"Male";"Employed";"Associate's Degree"
19;"Male";"Retired";"Master's Degree"
35;"Female";"Unemployed";"Master's Degree"
29;"Female";"Retired";"Bachelor's Degree"
79;"Female";"Student";"PhD"
30;"Male";"Student";"PhD"
60;"Male";"Student";"High School"
68;"Female";"Unemployed";"Master's Degree"
55;"Male";"Unemployed";"Master's Degree"
35;"Male";"Retired";"PhD"
27;"Female";"Student";"Associate's Degree"
26;"Male";"Student";"Bachelor's Degree"
52;"Female";"Employed";"Bachelor's Degree"
46;"Male";"Retired";"Bachelor's Degree"
39;"Female";"Unemployed";"Bachelor's Degree"
36;"Female";"Retired";"High School"
25;"Female";"Student";"PhD"
62;"Male";"Unemployed";"Master's Degree"
50;"Male";"Retired";"Associate's Degree"
19;"Female";"Unemployed";"PhD"
77;"Female";"Student";"Master's Degree"
60;"Male";"Employed";"Bachelor's Degree"
78;"Male";"Unemployed";"Master's Degree"
79;"Female";"Employed";"Master's Degree"
65;"Female";"Student";"Bachelor's Degree"
22;"Female";"Student";"Master's Degree"
38;"Male";"Retired";"Associate's Degree"
48;"Female";"Unemployed";"High School"
53;"Male";"Unemployed";"High School"
44;"Male";"Unemployed";"Associate's Degree"
40;"Female";"Unemployed";"PhD"
20;"Male";"Employed";"High School"
32;"Male";"Retired";"Associate's Degree"
59;"Female";"Student";"Bachelor's Degree"
56;"Male";"Unemployed";"Master's Degree"
75;"Female";"Employed";"Bachelor's Degree"
24;"Male";"Employed";"PhD"
51;"Male";"Employed";"High School"
48;"Female";"Employed";"Bachelor's Degree"
35;"Female";"Employed";"PhD"
35;"Female";"Employed";"Bachelor's Degree"
52;"Male";"Retired";"High School"
57;"Female";"Unemployed";"PhD"
63;"Male";"Unemployed";"PhD"
26;"Female";"Unemployed";"Master's Degree"
32;"Male";"Student";"Master's Degree"
34;"Male";"Student";"Bachelor's Degree"
24;"Male";"Retired";"High School"
47;"Female";"Employed";"Associate's Degree"
25;"Male";"Student";"PhD"
18;"Female";"Student";"Associate's Degree"
26;"Male";"Retired";"High School"
52;"Male";"Student";"Associate's Degree"
42;"Male";"Employed";"PhD"
19;"Female";"Unemployed";"Associate's Degree"
28;"Male";"Unemployed";"Associate's Degree"
21;"Male";"Unemployed";"PhD"
57;"Male";"Student";"Bachelor's Degree"
37;"Male";"Employed";"PhD"
28;"Female";"Employed";"Associate's Degree"
77;"Male";"Employed";"PhD"
35;"Female";"Employed";"PhD"
71;"Female";"Unemployed";"Associate's Degree"
31;"Male";"Employed";"PhD"
20;"Female";"Unemployed";"Associate's Degree"
45;"Female";"Student";"Master's Degree"
72;"Female";"Unemployed";"Associate's Degree"
20;"Male";"Student";"Bachelor's Degree"
63;"Female";"Retired";"Bachelor's Degree"
45;"Female";"Retired";"Master's Degree"
46;"Female";"Retired";"PhD"
80;"Male";"Employed";"Master's Degree"
56;"Male";"Employed";"High School"
40;"Female";"Employed";"PhD"
32;"Male";"Retired";"Associate's Degree"
40;"Male";"Employed";"High School"
72;"Male";"Unemployed";"High School"
41;"Male";"Student";"PhD"
57;"Male";"Unemployed";"Associate's Degree"
50;"Female";"Unemployed";"PhD"
54;"Female";"Student";"PhD"
77;"Male";"Employed";"High School"
46;"Female";"Retired";"PhD"
74;"Female";"Retired";"PhD"
66;"Female";"Retired";"PhD"
23;"Male";"Student";"PhD"
42;"Female";"Employed";"Associate's Degree"
59;"Female";"Retired";"PhD"
43;"Male";"Employed";"High School"
41;"Female";"Unemployed";"Bachelor's Degree"
61;"Female";"Student";"PhD"
49;"Female";"Unemployed";"Associate's Degree"
25;"Female";"Employed";"PhD"
33;"Female";"Student";"Associate's Degree"
56;"Male";"Unemployed";"Bachelor's Degree"
49;"Female";"Employed";"Master's Degree"
56;"Female";"Student";"Bachelor's Degree"
18;"Female";"Student";"Associate's Degree"
47;"Female";"Retired";"Associate's Degree"
75;"Female";"Unemployed";"High School"
42;"Male";"Employed";"Bachelor's Degree"
73;"Female";"Unemployed";"Associate's Degree"
60;"Male";"Employed";"High School"
20;"Female";"Student";"Bachelor's Degree"
73;"Female";"Unemployed";"PhD"
39;"Male";"Employed";"Master's Degree"
34;"Female";"Student";"Associate's Degree"
37;"Female";"Student";"High School"
52;"Male";"Employed";"Associate's Degree"
31;"Male";"Student";"High School"
54;"Female";"Unemployed";"High School"
72;"Female";"Student";"Associate's Degree"
67;"Male";"Employed";"High School"
41;"Female";"Retired";"Master's Degree"
47;"Female";"Employed";"Associate's Degree"
25;"Female";"Unemployed";"High School"
37;"Female";"Student";"PhD"
73;"Male";"Retired";"Associate's Degree"
27;"Male";"Retired";"Bachelor's Degree"
39;"Female";"Unemployed";"Master's Degree"
67;"Male";"Retired";"High School"
34;"Female";"Employed";"Associate's Degree"
26;"Male";"Unemployed";"Bachelor's Degree"
52;"Female";"Retired";"Associate's Degree"
54;"Male";"Retired";"Bachelor's Degree"
38;"Female";"Student";"Bachelor's Degree"
80;"Male";"Retired";"PhD"
74;"Male";"Retired";"PhD"
33;"Male";"Retired";"Associate's Degree"
69;"Female";"Employed";"Associate's Degree"
43;"Female";"Employed";"Bachelor's Degree"
52;"Female";"Employed";"Master's Degree"
52;"Female";"Student";"Bachelor's Degree"
71;"Female";"Unemployed";"Associate's Degree"
43;"Male";"Unemployed";"High School"
30;"Female";"Student";"Bachelor's Degree"
53;"Male";"Retired";"PhD"
64;"Male";"Retired";"Master's Degree"
72;"Female";"Retired";"PhD"
42;"Female";"Retired";"Associate's Degree"
45;"Male";"Unemployed";"High School"
68;"Female";"Student";"High School"
46;"Female";"Student";"Associate's Degree"
30;"Male";"Retired";"High School"
61;"Female";"Employed";"High School"
71;"Female";"Unemployed";"Master's Degree"
38;"Male";"Student";"Bachelor's Degree"
42;"Female";"Unemployed";"High School"
46;"Male";"Employed";"Associate's Degree"
37;"Female";"Unemployed";"Associate's Degree"
46;"Female";"Student";"Associate's Degree"
30;"Male";"Unemployed";"High School"
30;"Male";"Retired";"PhD"
52;"Male";"Unemployed";"PhD"
72;"Male";"Unemployed";"High School"
69;"Male";"Unemployed";"Bachelor's Degree"
22;"Female";"Unemployed";"PhD"
73;"Female";"Student";"High School"
30;"Female";"Unemployed";"PhD"
40;"Female";"Student";"Master's Degree"
45;"Male";"Unemployed";"PhD"
61;"Female";"Unemployed";"Bachelor's Degree"
25;"Male";"Retired";"Associate's Degree"
79;"Male";"Unemployed";"Bachelor's Degree"
55;"Female";"Employed";"Master's Degree"
41;"Female";"Student";"Bachelor's Degree"
33;"Female";"Employed";"Associate's Degree"
28;"Female";"Employed";"High School"
40;"Male";"Retired";"Bachelor's Degree"
47;"Female";"Student";"Master's Degree"
49;"Male";"Employed";"Bachelor's Degree"
44;"Female";"Employed";"Master's Degree"
61;"Female";"Retired";"High School"
65;"Female";"Student";"Bachelor's Degree"
32;"Male";"Employed";"Master's Degree"
18;"Female";"Unemployed";"Associate's Degree"
71;"Female";"Employed";"High School"
61;"Female";"Student";"Master's Degree"
27;"Male";"Student";"High School"
39;"Male";"Employed";"Associate's Degree"
59;"Male";"Retired";"Bachelor's Degree"
53;"Male";"Student";"High School"
58;"Female";"Unemployed";"Associate's Degree"
42;"Male";"Student";"PhD"
47;"Female";"Employed";"PhD"
75;"Male";"Student";"Bachelor's Degree"
69;"Male";"Student";"Associate's Degree"
54;"Female";"Retired";"Bachelor's Degree"
44;"Male";"Employed";"Master's Degree"
26;"Female";"Student";"PhD"
36;"Male";"Unemployed";"Associate's Degree"
52;"Female";"Employed";"PhD"
51;"Female";"Student";"Bachelor's Degree"
80;"Male";"Student";"High School"
40;"Male";"Retired";"High School"
29;"Male";"Retired";"Associate's Degree"
32;"Female";"Retired";"Bachelor's Degree"
66;"Male";"Unemployed";"High School"
52;"Male";"Student";"High School"
46;"Female";"Student";"High School"
24;"Female";"Student";"Master's Degree"
46;"Male";"Student";"PhD"
62;"Female";"Student";"High School"
63;"Female";"Student";"PhD"
51;"Female";"Unemployed";"PhD"
78;"Female";"Unemployed";"PhD"
78;"Female";"Retired";"Bachelor's Degree"
26;"Male";"Student";"Associate's Degree"
64;"Female";"Retired";"Master's Degree"
70;"Female";"Unemployed";"PhD"
18;"Female";"Student";"Master's Degree"
27;"Female";"Retired";"Associate's Degree"
58;"Male";"Student";"Associate's Degree"
58;"Female";"Employed";"Bachelor's Degree"
56;"Female";"Employed";"Master's Degree"
67;"Male";"Unemployed";"PhD"
61;"Female";"Employed";"High School"
73;"Female";"Student";"High School"
40;"Female";"Employed";"Bachelor's Degree"
23;"Male";"Employed";"Bachelor's Degree"
49;"Female";"Retired";"Associate's Degree"
56;"Female";"Employed";"Bachelor's Degree"
78;"Male";"Retired";"High School"
33;"Female";"Unemployed";"Bachelor's Degree"
43;"Female";"Student";"High School"
33;"Female";"Student";"PhD"
19;"Female";"Employed";"High School"
51;"Female";"Student";"Associate's Degree"
31;"Male";"Employed";"Bachelor's Degree"
47;"Male";"Retired";"Master's Degree"
45;"Female";"Unemployed";"Master's Degree"
38;"Female";"Student";"Associate's Degree"
40;"Male";"Employed";"High School"
75;"Female";"Employed";"High School"
76;"Female";"Employed";"PhD"
47;"Female";"Employed";"High School"
42;"Female";"Unemployed";"Bachelor's Degree"
56;"Male";"Employed";"Associate's Degree"
23;"Female";"Unemployed";"PhD"
21;"Female";"Student";"Master's Degree"
20;"Female";"Unemployed";"Bachelor's Degree"
63;"Female";"Unemployed";"High School"
76;"Female";"Employed";"Bachelor's Degree"
68;"Female";"Retired";"PhD"
63;"Male";"Student";"High School"
65;"Female";"Unemployed";"Associate's Degree"
27;"Female";"Employed";"Associate's Degree"
45;"Male";"Unemployed";"PhD"
29;"Male";"Retired";"PhD"
67;"Male";"Unemployed";"PhD"
20;"Female";"Unemployed";"Bachelor's Degree"
18;"Male";"Unemployed";"High School"
61;"Female";"Employed";"Bachelor's Degree"
66;"Female";"Employed";"Associate's Degree"
50;"Male";"Unemployed";"Associate's Degree"
53;"Male";"Retired";"PhD"
68;"Female";"Unemployed";"PhD"
30;"Male";"Unemployed";"High School"
67;"Female";"Student";"Associate's Degree"
32;"Male";"Retired";"Bachelor's Degree"
30;"Male";"Employed";"High School"
63;"Male";"Student";"Associate's Degree"
47;"Female";"Unemployed";"Master's Degree"
72;"Female";"Retired";"High School"
35;"Female";"Retired";"PhD"
61;"Male";"Student";"Master's Degree"
67;"Female";"Unemployed";"Bachelor's Degree"
56;"Female";"Unemployed";"Associate's Degree"
43;"Male";"Employed";"Bachelor's Degree"
53;"Female";"Retired";"Master's Degree"
53;"Female";"Student";"Associate's Degree"
73;"Female";"Employed";"Associate's Degree"
74;"Female";"Retired";"Master's Degree"
20;"Male";"Employed";"Bachelor's Degree"
42;"Male";"Retired";"High School"
28;"Female";"Employed";"High School"
68;"Female";"Student";"PhD"
47;"Female";"Student";"PhD"
33;"Male";"Employed";"Bachelor's Degree"
64;"Male";"Unemployed";"Master's Degree"
28;"Female";"Retired";"PhD"
55;"Male";"Employed";"Associate's Degree"
49;"Female";"Retired";"Master's Degree"
48;"Female";"Retired";"Associate's Degree"
54;"Male";"Employed";"Bachelor's Degree"
19;"Female";"Retired";"Associate's Degree"
39;"Male";"Employed";"Bachelor's Degree"
34;"Female";"Retired";"High School"
22;"Male";"Unemployed";"Associate's Degree"
68;"Male";"Student";"Associate's Degree"
32;"Female";"Student";"Associate's Degree"
68;"Female";"Retired";"PhD"
49;"Female";"Retired";"Bachelor's Degree"
79;"Male";"Student";"Master's Degree"
52;"Female";"Unemployed";"Associate's Degree"
44;"Male";"Unemployed";"High School"
39;"Male";"Retired";"Associate's Degree"
80;"Female";"Retired";"High School"
42;"Female";"Employed";"Bachelor's Degree"
32;"Male";"Student";"High School"
76;"Female";"Retired";"Master's Degree"
52;"Male";"Unemployed";"Bachelor's Degree"
47;"Female";"Retired";"Associate's Degree"
51;"Male";"Employed";"PhD"
22;"Male";"Unemployed";"Master's Degree"
22;"Female";"Student";"Associate's Degree"
24;"Male";"Unemployed";"Associate's Degree"
19;"Male";"Employed";"High School"
33;"Male";"Unemployed";"PhD"
57;"Female";"Retired";"Associate's Degree"
40;"Female";"Unemployed";"High School"
40;"Male";"Unemployed";"PhD"
41;"Female";"Unemployed";"Associate's Degree"
38;"Female";"Retired";"Master's Degree"
35;"Female";"Unemployed";"PhD"
36;"Female";"Student";"Associate's Degree"
26;"Female";"Student";"Master's Degree"
36;"Female";"Retired";"Master's Degree"
79;"Male";"Unemployed";"High School"
63;"Male";"Unemployed";"PhD"
36;"Female";"Unemployed";"Master's Degree"
22;"Male";"Employed";"Master's Degree"
62;"Female";"Retired";"High School"
33;"Female";"Retired";"Master's Degree"
56;"Male";"Retired";"High School"
57;"Female";"Employed";"PhD"
49;"Male";"Retired";"PhD"
65;"Female";"Retired";"Master's Degree"
32;"Male";"Retired";"Master's Degree"
43;"Male";"Employed";"PhD"
37;"Male";"Unemployed";"PhD"
52;"Male";"Employed";"PhD"
72;"Female";"Student";"Associate's Degree"
48;"Female";"Retired";"Bachelor's Degree"
78;"Female";"Unemployed";"High School"
41;"Female";"Student";"Bachelor's Degree"
34;"Female";"Student";"PhD"
24;"Male";"Employed";"Associate's Degree"
74;"Female";"Student";"Bachelor's Degree"
30;"Female";"Retired";"High School"
52;"Female";"Unemployed";"High School"
75;"Male";"Retired";"PhD"
71;"Female";"Unemployed";"PhD"
30;"Female";"Student";"High School"
31;"Female";"Retired";"Bachelor's Degree"
21;"Female";"Unemployed";"Associate's Degree"
80;"Male";"Retired";"High School"
42;"Female";"Employed";"High School"
46;"Male";"Student";"Master's Degree"
70;"Male";"Retired";"Associate's Degree"
33;"Female";"Student";"Associate's Degree"
58;"Female";"Retired";"Master's Degree"
65;"Male";"Unemployed";"Bachelor's Degree"
26;"Female";"Unemployed";"High School"
54;"Female";"Retired";"Master's Degree"
71;"Female";"Employed";"Master's Degree"
39;"Female";"Retired";"Master's Degree"
63;"Male";"Employed";"Bachelor's Degree"
61;"Female";"Unemployed";"PhD"
80;"Female";"Retired";"Bachelor's Degree"
39;"Male";"Student";"Bachelor's Degree"
41;"Female";"Employed";"Associate's Degree"
31;"Male";"Employed";"Bachelor's Degree"
47;"Female";"Unemployed";"Associate's Degree"
62;"Female";"Student";"Master's Degree"
79;"Female";"Student";"PhD"
69;"Female";"Unemployed";"High School"
64;"Male";"Retired";"Master's Degree"
57;"Female";"Retired";"Master's Degree"
62;"Male";"Retired";"PhD"
48;"Male";"Retired";"PhD"
72;"Male";"Retired";"PhD"
56;"Female";"Unemployed";"PhD"
54;"Female";"Retired";"PhD"
25;"Male";"Employed";"Associate's Degree"
64;"Male";"Employed";"Bachelor's Degree"
31;"Male";"Unemployed";"Master's Degree"
65;"Female";"Unemployed";"Master's Degree"
18;"Female";"Retired";"Bachelor's Degree"
40;"Female";"Student";"Bachelor's Degree"
